239,-10.5,200,14.7
240,-10.5,200,44.1
241,-6.3,200,-65.1
242,-6.3,200,-44.1
243,-6.3,200,-35.7
244,-6.3,200,31.5
245,-6.3,200,48.3
246,-6.3,200,56.7
247,-6.3,200,65.1
248,-2.1,200,-39.9
249,-2.1,200,-35.7
250,-2.1,200,-31.5
251,-2.1,200,-2.1
252,-2.1,200,2.1
253,-2.1,200,6.3
254,-2.1,200,18.9
255,-2.1,200,39.9
256,-2.1,200,60.9
257,2.1,200,-56.7
258,2.1,200,-48.3
259,2.1,200,-44.1
260,2.1,200,-39.9
261,2.1,200,-31.5
262,2.1,200,6.3
263,2.1,200,23.1
264,2.1,200,39.9
265,2.1,200,44.1
266,6.3,200,-56.7
267,6.3,200,-48.3
268,6.3,200,-27.3
269,6.3,200,31.5
270,6.3,200,39.9
271,10.5,200,-31.5
272,10.5,200,-18.9
273,10.5,200,18.9
274,10.5,200,23.1
275,10.5,200,35.7
276,10.5,200,60.9
277,14.7,200,-48.3
278,14.7,200,-27.3
279,14.7,200,-10.5
280,14.7,200,-6.3
281,14.7,200,-2.1
282,14.7,200,2.1
283,14.7,200,10.5
284,14.7,200,18.9
285,14.7,200,27.3
286,14.7,200,39.9
287,14.7,200,44.1
288,14.7,200,52.5
289,14.7,200,56.7
290,14.7,200,60.9
291,18.9,200,-56.7
292,18.9,200,-27.3
293,18.9,200,-18.9
294,18.9,200,-14.7
295,18.9,200,-6.3
296,23.1,200,-27.3
297,23.1,200,-14.7
298,23.1,200,-6.3
299,23.1,200,-2.1
300,23.1,200,2.1
301,23.1,200,10.5
302,23.1,200,14.7
303,23.1,200,18.9
304,23.1,200,23.1
305,23.1,200,27.3
306,23.1,200,35.7
307,27.3,200,-48.3
308,27.3,200,-44.1
309,27.3,200,-6.3
310,27.3,200,10.5
311,27.3,200,23.1
312,27.3,200,27.3
313,27.3,200,56.7
314,31.5,200,-56.7
315,31.5,200,-52.5
316,31.5,200,-35.7
317,31.5,200,-31.5
318,31.5,200,-2.1
319,31.5,200,31.5
320,31.5,200,52.5
321,35.7,200,-35.7
322,35.7,200,-27.3
323,35.7,200,-18.9
324,35.7,200,-10.5
325,35.7,200,-2.1
326,35.7,200,2.1
327,35.7,200,23.1
328,35.7,200,48.3
329,39.9,200,-52.5
330,39.9,200,2.1
331,39.9,200,10.5
332,39.9,200,35.7
333,39.9,200,39.9
334,39.9,200,44.1
